Date,Start Time (ET),Visitor,Visitor Points,Home,Home Points,Box Score,Overtime,Attendance,Arena,Notes
2022-10-18,7:30p,Philadelphia 76ers,117,Boston Celtics,126,https://www.basketball-reference.com//boxscores/202210180BOS.html,,"19,156",TD Garden,
2022-10-18,10:00p,Los Angeles Lakers,109,Golden State Warriors,123,https://www.basketball-reference.com//boxscores/202210180GSW.html,,"18,064",Chase Center,
2022-10-19,7:00p,Orlando Magic,109,Detroit Pistons,113,https://www.basketball-reference.com//boxscores/202210190DET.html,,"20,190",Little Caesars Arena,
2022-10-19,7:00p,Washington Wizards,114,Indiana Pacers,107,https://www.basketball-reference.com//boxscores/202210190IND.html,,"15,027",Gainbridge Fieldhouse,
2022-10-19,7:30p,Houston Rockets,107,Atlanta Hawks,117,https://www.basketball-reference.com//boxscores/202210190ATL.html,,"17,878",State Farm Arena,
2022-10-19,7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,https://www.basketball-reference.com//boxscores/202210190BRK.html,,"18,003",Barclays Center,
2022-10-19,7:30p,New York Knicks,112,Memphis Grizzlies,115,https://www.basketball-reference.com//boxscores/202210190MEM.html,OT,"18,202",FedEx Forum,
2022-10-19,7:30p,Chicago Bulls,116,Miami Heat,108,https://www.basketball-reference.com//boxscores/202210190MIA.html,,"19,600",Kaseya Center,
2022-10-19,7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,https://www.basketball-reference.com//boxscores/202210190TOR.html,,"19,800",Scotiabank Arena,
2022-10-19,8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,https://www.basketball-reference.com//boxscores/202210190MIN.html,,"17,136",Target Center,
2022-10-19,8:00p,Charlotte Hornets,129,San Antonio Spurs,102,https://www.basketball-reference.com//boxscores/202210190SAS.html,,"16,236",AT&T Center,
2022-10-19,9:00p,Denver Nuggets,102,Utah Jazz,123,https://www.basketball-reference.com//boxscores/202210190UTA.html,,"18,206",Vivint Arena,
2022-10-19,10:00p,Dallas Mavericks,105,Phoenix Suns,107,https://www.basketball-reference.com//boxscores/202210190PHO.html,,"17,071",Footprint Center,
2022-10-19,10:00p,Portland Trail Blazers,115,Sacramento Kings,108,https://www.basketball-reference.com//boxscores/202210190SAC.html,,"17,611",Golden 1 Center,
2022-10-20,7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,https://www.basketball-reference.com//boxscores/202210200PHI.html,,"20,060",Wells Fargo Center,
2022-10-20,10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,https://www.basketball-reference.com//boxscores/202210200LAL.html,,"18,997",Crypto.com Arena,
2022-10-21,7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,https://www.basketball-reference.com//boxscores/202210210CHO.html,,"19,287",Spectrum Center,
2022-10-21,7:00p,San Antonio Spurs,137,Indiana Pacers,134,https://www.basketball-reference.com//boxscores/202210210IND.html,,"12,073",Gainbridge Fieldhouse,
2022-10-21,7:00p,Chicago Bulls,100,Washington Wizards,102,https://www.basketball-reference.com//boxscores/202210210WAS.html,,"20,476",Capital One Arena,
2022-10-21,7:30p,Orlando Magic,98,Atlanta Hawks,108,https://www.basketball-reference.com//boxscores/202210210ATL.html,,"17,822",State Farm Arena,
2022-10-21,7:30p,Toronto Raptors,105,Brooklyn Nets,109,https://www.basketball-reference.com//boxscores/202210210BRK.html,,"17,732",Barclays Center,
2022-10-21,7:30p,Boston Celtics,111,Miami Heat,104,https://www.basketball-reference.com//boxscores/202210210MIA.html,,"19,600",Kaseya Center,
2022-10-21,7:30p,Detroit Pistons,106,New York Knicks,130,https://www.basketball-reference.com//boxscores/202210210NYK.html,,"19,812",Madison Square Garden (IV),
2022-10-21,8:00p,Memphis Grizzlies,129,Houston Rockets,122,https://www.basketball-reference.com//boxscores/202210210HOU.html,,"18,055",Toyota Center,
2022-10-21,8:00p,Utah Jazz,132,Minnesota Timberwolves,126,https://www.basketball-reference.com//boxscores/202210210MIN.html,OT,"17,136",Target Center,
2022-10-21,10:00p,Denver Nuggets,128,Golden State Warriors,123,https://www.basketball-reference.com//boxscores/202210210GSW.html,,"18,064",Chase Center,
2022-10-21,10:00p,Phoenix Suns,111,Portland Trail Blazers,113,https://www.basketball-reference.com//boxscores/202210210POR.html,OT,"19,393",Moda Center,
2022-10-22,6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,https://www.basketball-reference.com//boxscores/202210220PHI.html,,"19,822",Wells Fargo Center,
2022-10-22,7:00p,Detroit Pistons,115,Indiana Pacers,124,https://www.basketball-reference.com//boxscores/202210220IND.html,,"16,056",Gainbridge Fieldhouse,
2022-10-22,7:00p,Boston Celtics,126,Orlando Magic,120,https://www.basketball-reference.com//boxscores/202210220ORL.html,,"19,299",Amway Center,
2022-10-22,8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,https://www.basketball-reference.com//boxscores/202210220CHI.html,,"21,089",United Center,
2022-10-22,8:00p,Toronto Raptors,109,Miami Heat,112,https://www.basketball-reference.com//boxscores/202210220MIA.html,,"19,600",Kaseya Center,
2022-10-22,8:00p,Houston Rockets,105,Milwaukee Bucks,125,https://www.basketball-reference.com//boxscores/202210220MIL.html,,"17,341",Fiserv Forum,
2022-10-22,8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,https://www.basketball-reference.com//boxscores/202210220DAL.html,,"20,377",American Airlines Center,
2022-10-22,9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,https://www.basketball-reference.com//boxscores/202210220DEN.html,,"19,983",Ball Arena,
2022-10-22,10:00p,Los Angeles Clippers,111,Sacramento Kings,109,https://www.basketball-reference.com//boxscores/202210220SAC.html,,"16,296",Golden 1 Center,
2022-10-23,3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,https://www.basketball-reference.com//boxscores/202210230LAL.html,,"18,997",Crypto.com Arena,
2022-10-23,5:00p,Charlotte Hornets,126,Atlanta Hawks,109,https://www.basketball-reference.com//boxscores/202210230ATL.html,,"17,383",State Farm Arena,
2022-10-23,7:00p,Washington Wizards,107,Cleveland Cavaliers,117,https://www.basketball-reference.com//boxscores/202210230CLE.html,OT,"19,432",Rocket Mortgage Fieldhouse,
2022-10-23,7:00p,Utah Jazz,122,New Orleans Pelicans,121,https://www.basketball-reference.com//boxscores/202210230NOP.html,OT,"18,665",Smoothie King Center,
2022-10-23,8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,https://www.basketball-reference.com//boxscores/202210230OKC.html,,"15,044",Paycom Center,
2022-10-23,8:30p,Sacramento Kings,125,Golden State Warriors,130,https://www.basketball-reference.com//boxscores/202210230GSW.html,,"18,064",Chase Center,
2022-10-23,10:00p,Phoenix Suns,112,Los Angeles Clippers,95,https://www.basketball-reference.com//boxscores/202210230LAC.html,,"19,068",Crypto.com Arena,
2022-10-24,7:00p,Indiana Pacers,106,Philadelphia 76ers,120,https://www.basketball-reference.com//boxscores/202210240PHI.html,,"19,786",Wells Fargo Center,
2022-10-24,7:30p,Toronto Raptors,98,Miami Heat,90,https://www.basketball-reference.com//boxscores/202210240MIA.html,,"19,600",Kaseya Center,
2022-10-24,7:30p,Orlando Magic,102,New York Knicks,115,https://www.basketball-reference.com//boxscores/202210240NYK.html,,"18,800",Madison Square Garden (IV),
2022-10-24,8:00p,Boston Celtics,102,Chicago Bulls,120,https://www.basketball-reference.com//boxscores/202210240CHI.html,,"17,673",United Center,
2022-10-24,8:00p,Utah Jazz,108,Houston Rockets,114,https://www.basketball-reference.com//boxscores/202210240HOU.html,,"16,260",Toyota Center,
2022-10-24,8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,https://www.basketball-reference.com//boxscores/202210240MEM.html,,"17,392",FedEx Forum,
2022-10-24,8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,https://www.basketball-reference.com//boxscores/202210240MIN.html,,"15,347",Target Center,
2022-10-24,10:00p,Denver Nuggets,110,Portland Trail Blazers,135,https://www.basketball-reference.com//boxscores/202210240POR.html,,"18,111",Moda Center,
2022-10-25,7:00p,Detroit Pistons,99,Washington Wizards,120,https://www.basketball-reference.com//boxscores/202210250WAS.html,,"13,196",Capital One Arena,
2022-10-25,7:30p,Dallas Mavericks,111,New Orleans Pelicans,113,https://www.basketball-reference.com//boxscores/202210250NOP.html,,"14,020",Smoothie King Center,
2022-10-25,8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108,https://www.basketball-reference.com//boxscores/202210250OKC.html,,"13,105",Paycom Center,
2022-10-25,10:00p,Golden State Warriors,105,Phoenix Suns,134,https://www.basketball-reference.com//boxscores/202210250PHO.html,,"17,071",Footprint Center,
2022-10-26,7:00p,Orlando Magic,92,Cleveland Cavaliers,103,https://www.basketball-reference.com//boxscores/202210260CLE.html,,0,Rocket Mortgage Fieldhouse,
2022-10-26,7:00p,Atlanta Hawks,118,Detroit Pistons,113,https://www.basketball-reference.com//boxscores/202210260DET.html,,"17,987",Little Caesars Arena,
2022-10-26,7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,https://www.basketball-reference.com//boxscores/202210260MIL.html,,"17,341",Fiserv Forum,
2022-10-26,7:30p,Charlotte Hornets,131,New York Knicks,134,https://www.basketball-reference.com//boxscores/202210260NYK.html,OT,"19,812",Madison Square Garden (IV),
2022-10-26,7:30p,Philadelphia 76ers,109,Toronto Raptors,119,https://www.basketball-reference.com//boxscores/202210260TOR.html,,"19,800",Scotiabank Arena,
2022-10-26,8:00p,Indiana Pacers,109,Chicago Bulls,124,https://www.basketball-reference.com//boxscores/202210260CHI.html,,"18,306",United Center,
2022-10-26,8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,https://www.basketball-reference.com//boxscores/202210260MIN.html,,"16,165",Target Center,
2022-10-26,9:00p,Houston Rockets,101,Utah Jazz,109,https://www.basketball-reference.com//boxscores/202210260UTA.html,,"18,206",Vivint Arena,
2022-10-26,10:00p,Los Angeles Lakers,99,Denver Nuggets,110,https://www.basketball-reference.com//boxscores/202210260DEN.html,,"19,520",Ball Arena,
2022-10-26,10:00p,Miami Heat,119,Portland Trail Blazers,98,https://www.basketball-reference.com//boxscores/202210260POR.html,,"18,588",Moda Center,
2022-10-27,7:30p,Dallas Mavericks,129,Brooklyn Nets,125,https://www.basketball-reference.com//boxscores/202210270BRK.html,OT,"18,039",Barclays Center,
2022-10-27,8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118,https://www.basketball-reference.com//boxscores/202210270OKC.html,,"14,510",Paycom Center,
2022-10-27,10:00p,Miami Heat,110,Golden State Warriors,123,https://www.basketball-reference.com//boxscores/202210270GSW.html,,"18,064",Chase Center,
2022-10-27,10:00p,Memphis Grizzlies,125,Sacramento Kings,110,https://www.basketball-reference.com//boxscores/202210270SAC.html,,"15,511",Golden 1 Center,
2022-10-28,7:00p,Atlanta Hawks,136,Detroit Pistons,112,https://www.basketball-reference.com//boxscores/202210280DET.html,,"18,923",Little Caesars Arena,
2022-10-28,7:00p,Charlotte Hornets,93,Orlando Magic,113,https://www.basketball-reference.com//boxscores/202210280ORL.html,,"18,846",Amway Center,
2022-10-28,7:30p,Cleveland Cavaliers,132,Boston Celtics,123,https://www.basketball-reference.com//boxscores/202210280BOS.html,OT,"19,156",TD Garden,
2022-10-28,7:30p,Philadelphia 76ers,112,Toronto Raptors,90,https://www.basketball-reference.com//boxscores/202210280TOR.html,,"19,800",Scotiabank Arena,
2022-10-28,7:30p,Indiana Pacers,127,Washington Wizards,117,https://www.basketball-reference.com//boxscores/202210280WAS.html,,"13,463",Capital One Arena,
2022-10-28,8:00p,New York Knicks,108,Milwaukee Bucks,119,https://www.basketball-reference.com//boxscores/202210280MIL.html,,"17,341",Fiserv Forum,
2022-10-28,8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,https://www.basketball-reference.com//boxscores/202210280MIN.html,,"17,136",Target Center,
2022-10-28,8:30p,Chicago Bulls,124,San Antonio Spurs,129,https://www.basketball-reference.com//boxscores/202210280SAS.html,,"16,562",AT&T Center,
2022-10-28,9:00p,Utah Jazz,101,Denver Nuggets,117,https://www.basketball-reference.com//boxscores/202210280DEN.html,,"19,560",Ball Arena,
2022-10-28,10:00p,New Orleans Pelicans,111,Phoenix Suns,124,https://www.basketball-reference.com//boxscores/202210280PHO.html,,"17,071",Footprint Center,
2022-10-28,10:00p,Houston Rockets,111,Portland Trail Blazers,125,https://www.basketball-reference.com//boxscores/202210280POR.html,,"19,082",Moda Center,
2022-10-29,6:00p,Miami Heat,113,Sacramento Kings,119,https://www.basketball-reference.com//boxscores/202210290SAC.html,,"14,618",Golden 1 Center,
2022-10-29,7:00p,Golden State Warriors,113,Charlotte Hornets,120,https://www.basketball-reference.com//boxscores/202210290CHO.html,OT,"19,079",Spectrum Center,
2022-10-29,7:30p,Indiana Pacers,125,Brooklyn Nets,116,https://www.basketball-reference.com//boxscores/202210290BRK.html,,"17,732",Barclays Center,
2022-10-29,8:00p,Philadelphia 76ers,114,Chicago Bulls,109,https://www.basketball-reference.com//boxscores/202210290CHI.html,,"19,010",United Center,
2022-10-29,8:00p,Atlanta Hawks,115,Milwaukee Bucks,123,https://www.basketball-reference.com//boxscores/202210290MIL.html,,"17,341",Fiserv Forum,
2022-10-29,9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111,https://www.basketball-reference.com//boxscores/202210290DAL.html,OT,"20,307",American Airlines Center,
2022-10-29,9:00p,Memphis Grizzlies,123,Utah Jazz,124,https://www.basketball-reference.com//boxscores/202210290UTA.html,,"18,206",Vivint Arena,
2022-10-30,3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91,https://www.basketball-reference.com//boxscores/202210300LAC.html,,"18,142",Crypto.com Arena,
2022-10-30,6:00p,Washington Wizards,94,Boston Celtics,112,https://www.basketball-reference.com//boxscores/202210300BOS.html,,"19,156",TD Garden,
2022-10-30,6:00p,New York Knicks,108,Cleveland Cavaliers,121,https://www.basketball-reference.com//boxscores/202210300CLE.html,,"19,432",Rocket Mortgage Fieldhouse,
2022-10-30,6:00p,Golden State Warriors,114,Detroit Pistons,128,https://www.basketball-reference.com//boxscores/202210300DET.html,,"20,190",Little Caesars Arena,
2022-10-30,7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107,https://www.basketball-reference.com//boxscores/202210300SAS.html,,"15,053",AT&T Center,
2022-10-30,7:30p,Orlando Magic,105,Dallas Mavericks,114,https://www.basketball-reference.com//boxscores/202210300DAL.html,,"20,042",American Airlines Center,
2022-10-30,9:00p,Houston Rockets,109,Phoenix Suns,124,https://www.basketball-reference.com//boxscores/202210300PHO.html,,"17,071",Footprint Center,
2022-10-30,9:30p,Denver Nuggets,110,Los Angeles Lakers,121,https://www.basketball-reference.com//boxscores/202210300LAL.html,,"18,997",Crypto.com Arena,
2022-10-31,7:00p,Sacramento Kings,115,Charlotte Hornets,108,https://www.basketball-reference.com//boxscores/202210310CHO.html,,"12,020",Spectrum Center,
2022-10-31,7:00p,Philadelphia 76ers,118,Washington Wizards,111,https://www.basketball-reference.com//boxscores/202210310WAS.html,,"13,746",Capital One Arena,
2022-10-31,7:30p,Indiana Pacers,109,Brooklyn Nets,116,https://www.basketball-reference.com//boxscores/202210310BRK.html,,"15,770",Barclays Center,
2022-10-31,7:30p,Atlanta Hawks,109,Toronto Raptors,139,https://www.basketball-reference.com//boxscores/202210310TOR.html,,"19,800",Scotiabank Arena,
2022-10-31,8:00p,Detroit Pistons,108,Milwaukee Bucks,110,https://www.basketball-reference.com//boxscores/202210310MIL.html,,"17,341",Fiserv Forum,
2022-10-31,9:00p,Memphis Grizzlies,105,Utah Jazz,121,https://www.basketball-reference.com//boxscores/202210310UTA.html,,"18,206",Vivint Arena,
2022-10-31,10:30p,Houston Rockets,93,Los Angeles Clippers,95,https://www.basketball-reference.com//boxscores/202210310LAC.html,,"14,887",Crypto.com Arena,
2022-11-01,7:30p,Chicago Bulls,108,Brooklyn Nets,99,https://www.basketball-reference.com//boxscores/202211010BRK.html,,"17,732",Barclays Center,
2022-11-01,7:30p,Golden State Warriors,109,Miami Heat,116,https://www.basketball-reference.com//boxscores/202211010MIA.html,,"19,600",Kaseya Center,
2022-11-01,8:00p,Orlando Magic,108,Oklahoma City Thunder,116,https://www.basketball-reference.com//boxscores/202211010OKC.html,,"13,109",Paycom Center,
2022-11-01,10:00p,Minnesota Timberwolves,107,Phoenix Suns,116,https://www.basketball-reference.com//boxscores/202211010PHO.html,,"17,071",Footprint Center,
2022-11-02,6:00p,Washington Wizards,121,Philadelphia 76ers,111,https://www.basketball-reference.com//boxscores/202211020PHI.html,,"19,855",Wells Fargo Center,
2022-11-02,7:30p,Boston Celtics,113,Cleveland Cavaliers,114,https://www.basketball-reference.com//boxscores/202211020CLE.html,OT,"19,432",Rocket Mortgage Fieldhouse,
2022-11-02,7:30p,Sacramento Kings,107,Miami Heat,110,https://www.basketball-reference.com//boxscores/202211020MIA.html,,"19,600",Kaseya Center,
2022-11-02,7:30p,Atlanta Hawks,112,New York Knicks,99,https://www.basketball-reference.com//boxscores/202211020NYK.html,,"19,812",Madison Square Garden (IV),
2022-11-02,8:00p,Charlotte Hornets,88,Chicago Bulls,106,https://www.basketball-reference.com//boxscores/202211020CHI.html,,"17,886",United Center,
2022-11-02,8:00p,Los Angeles Clippers,109,Houston Rockets,101,https://www.basketball-reference.com//boxscores/202211020HOU.html,,"15,860",Toyota Center,
2022-11-02,8:00p,Detroit Pistons,91,Milwaukee Bucks,116,https://www.basketball-reference.com//boxscores/202211020MIL.html,,"17,341",Fiserv Forum,
2022-11-02,8:00p,Toronto Raptors,143,San Antonio Spurs,100,https://www.basketball-reference.com//boxscores/202211020SAS.html,,"12,155",AT&T Center,
2022-11-02,8:30p,Utah Jazz,100,Dallas Mavericks,103,https://www.basketball-reference.com//boxscores/202211020DAL.html,,"19,877",American Airlines Center,
2022-11-02,10:00p,Memphis Grizzlies,111,Portland Trail Blazers,106,https://www.basketball-reference.com//boxscores/202211020POR.html,,"19,462",Moda Center,
2022-11-02,10:30p,New Orleans Pelicans,117,Los Angeles Lakers,120,https://www.basketball-reference.com//boxscores/202211020LAL.html,OT,"18,997",Crypto.com Arena,
2022-11-03,7:00p,Golden State Warriors,129,Orlando Magic,130,https://www.basketball-reference.com//boxscores/202211030ORL.html,,"18,846",Amway Center,
2022-11-03,8:00p,Denver Nuggets,122,Oklahoma City Thunder,110,https://www.basketball-reference.com//boxscores/202211030OKC.html,,"13,791",Paycom Center,
2022-11-04,7:00p,Cleveland Cavaliers,112,Detroit Pistons,88,https://www.basketball-reference.com//boxscores/202211040DET.html,,"18,744",Little Caesars Arena,
2022-11-04,7:00p,Miami Heat,99,Indiana Pacers,101,https://www.basketball-reference.com//boxscores/202211040IND.html,,"13,141",Gainbridge Fieldhouse,
2022-11-04,7:00p,New York Knicks,106,Philadelphia 76ers,104,https://www.basketball-reference.com//boxscores/202211040PHI.html,,"20,679",Wells Fargo Center,
2022-11-04,7:00p,Brooklyn Nets,128,Washington Wizards,86,https://www.basketball-reference.com//boxscores/202211040WAS.html,,"17,258",Capital One Arena,
2022-11-04,7:30p,Chicago Bulls,119,Boston Celtics,123,https://www.basketball-reference.com//boxscores/202211040BOS.html,,"19,156",TD Garden,
2022-11-04,8:00p,Charlotte Hornets,99,Memphis Grizzlies,130,https://www.basketball-reference.com//boxscores/202211040MEM.html,,"17,187",FedEx Forum,
2022-11-04,8:00p,Los Angeles Clippers,113,San Antonio Spurs,106,https://www.basketball-reference.com//boxscores/202211040SAS.html,,"12,603",AT&T Center,
2022-11-04,8:30p,Toronto Raptors,110,Dallas Mavericks,111,https://www.basketball-reference.com//boxscores/202211040DAL.html,,"20,177",American Airlines Center,
2022-11-04,8:30p,Golden State Warriors,105,New Orleans Pelicans,114,https://www.basketball-reference.com//boxscores/202211040NOP.html,,"18,451",Smoothie King Center,
2022-11-04,10:00p,Milwaukee Bucks,115,Minnesota Timberwolves,102,https://www.basketball-reference.com//boxscores/202211040MIN.html,,"17,136",Target Center,
2022-11-04,10:00p,Portland Trail Blazers,108,Phoenix Suns,106,https://www.basketball-reference.com//boxscores/202211040PHO.html,,"17,071",Footprint Center,
2022-11-04,10:30p,Utah Jazz,130,Los Angeles Lakers,116,https://www.basketball-reference.com//boxscores/202211040LAL.html,,"18,997",Crypto.com Arena,
2022-11-05,5:00p,Sacramento Kings,126,Orlando Magic,123,https://www.basketball-reference.com//boxscores/202211050ORL.html,OT,"18,846",Amway Center,
2022-11-05,7:00p,Brooklyn Nets,98,Charlotte Hornets,94,https://www.basketball-reference.com//boxscores/202211050CHO.html,,"19,398",Spectrum Center,
2022-11-05,7:30p,New Orleans Pelicans,121,Atlanta Hawks,124,https://www.basketball-reference.com//boxscores/202211050ATL.html,OT,"17,654",State Farm Arena,
2022-11-05,7:30p,Boston Celtics,133,New York Knicks,118,https://www.basketball-reference.com//boxscores/202211050NYK.html,,"19,812",Madison Square Garden (IV),
2022-11-05,8:00p,Oklahoma City Thunder,94,Milwaukee Bucks,108,https://www.basketball-reference.com//boxscores/202211050MIL.html,,"17,713",Fiserv Forum,
2022-11-05,8:00p,Houston Rockets,117,Minnesota Timberwolves,129,https://www.basketball-reference.com//boxscores/202211050MIN.html,,"16,412",Target Center,
2022-11-05,9:00p,San Antonio Spurs,101,Denver Nuggets,126,https://www.basketball-reference.com//boxscores/202211050DEN.html,,"19,641",Ball Arena,
2022-11-05,10:00p,Portland Trail Blazers,82,Phoenix Suns,102,https://www.basketball-reference.com//boxscores/202211050PHO.html,,"17,071",Footprint Center,
2022-11-06,3:30p,Cleveland Cavaliers,114,Los Angeles Lakers,100,https://www.basketball-reference.com//boxscores/202211060LAL.html,,"18,997",Crypto.com Arena,
2022-11-06,6:00p,Washington Wizards,97,Memphis Grizzlies,103,https://www.basketball-reference.com//boxscores/202211060MEM.html,,"16,877",FedEx Forum,
2022-11-06,6:00p,Chicago Bulls,104,Toronto Raptors,113,https://www.basketball-reference.com//boxscores/202211060TOR.html,,"19,800",Scotiabank Arena,
2022-11-06,10:00p,Utah Jazz,110,Los Angeles Clippers,102,https://www.basketball-reference.com//boxscores/202211060LAC.html,,"16,111",Crypto.com Arena,
2022-11-07,7:00p,Washington Wizards,108,Charlotte Hornets,100,https://www.basketball-reference.com//boxscores/202211070CHO.html,,"13,712",Spectrum Center,
2022-11-07,7:15p,Houston Rockets,134,Orlando Magic,127,https://www.basketball-reference.com//boxscores/202211070ORL.html,,"15,441",Amway Center,
2022-11-07,7:30p,Oklahoma City Thunder,103,Detroit Pistons,112,https://www.basketball-reference.com//boxscores/202211070DET.html,,"16,223",Little Caesars Arena,
2022-11-07,7:45p,New Orleans Pelicans,122,Indiana Pacers,129,https://www.basketball-reference.com//boxscores/202211070IND.html,,"14,052",Gainbridge Fieldhouse,
2022-11-07,8:00p,Phoenix Suns,88,Philadelphia 76ers,100,https://www.basketball-reference.com//boxscores/202211070PHI.html,,"20,347",Wells Fargo Center,
2022-11-07,8:15p,Milwaukee Bucks,98,Atlanta Hawks,117,https://www.basketball-reference.com//boxscores/202211070ATL.html,,"17,494",State Farm Arena,
2022-11-07,8:30p,Portland Trail Blazers,110,Miami Heat,107,https://www.basketball-reference.com//boxscores/202211070MIA.html,,"19,600",Kaseya Center,
2022-11-07,8:45p,Toronto Raptors,97,Chicago Bulls,111,https://www.basketball-reference.com//boxscores/202211070CHI.html,,"21,142",United Center,
2022-11-07,9:00p,Boston Celtics,109,Memphis Grizzlies,106,https://www.basketball-reference.com//boxscores/202211070MEM.html,,"17,371",FedEx Forum,
2022-11-07,9:15p,New York Knicks,120,Minnesota Timberwolves,107,https://www.basketball-reference.com//boxscores/202211070MIN.html,,"14,524",Target Center,
2022-11-07,9:30p,Denver Nuggets,115,San Antonio Spurs,109,https://www.basketball-reference.com//boxscores/202211070SAS.html,,"11,574",AT&T Center,
2022-11-07,9:45p,Brooklyn Nets,94,Dallas Mavericks,96,https://www.basketball-reference.com//boxscores/202211070DAL.html,,"20,011",American Airlines Center,
2022-11-07,10:00p,Sacramento Kings,113,Golden State Warriors,116,https://www.basketball-reference.com//boxscores/202211070GSW.html,,"18,064",Chase Center,
2022-11-07,10:15p,Los Angeles Lakers,116,Utah Jazz,139,https://www.basketball-reference.com//boxscores/202211070UTA.html,,"18,206",Vivint Arena,
2022-11-07,10:30p,Cleveland Cavaliers,117,Los Angeles Clippers,119,https://www.basketball-reference.com//boxscores/202211070LAC.html,,"16,516",Crypto.com Arena,
2022-11-09,5:30p,Dallas Mavericks,87,Orlando Magic,94,https://www.basketball-reference.com//boxscores/202211090ORL.html,,"18,165",Amway Center,
2022-11-09,7:00p,Portland Trail Blazers,105,Charlotte Hornets,95,https://www.basketball-reference.com//boxscores/202211090CHO.html,,"14,774",Spectrum Center,
2022-11-09,7:00p,Denver Nuggets,122,Indiana Pacers,119,https://www.basketball-reference.com//boxscores/202211090IND.html,,"14,069",Gainbridge Fieldhouse,
2022-11-09,7:30p,Utah Jazz,125,Atlanta Hawks,119,https://www.basketball-reference.com//boxscores/202211090ATL.html,,"15,845",State Farm Arena,
2022-11-09,7:30p,Detroit Pistons,112,Boston Celtics,128,https://www.basketball-reference.com//boxscores/202211090BOS.html,,"19,156",TD Garden,
2022-11-09,7:30p,New York Knicks,85,Brooklyn Nets,112,https://www.basketball-reference.com//boxscores/202211090BRK.html,,"18,156",Barclays Center,
2022-11-09,7:30p,Houston Rockets,109,Toronto Raptors,116,https://www.basketball-reference.com//boxscores/202211090TOR.html,,"19,800",Scotiabank Arena,
2022-11-09,8:00p,New Orleans Pelicans,115,Chicago Bulls,111,https://www.basketball-reference.com//boxscores/202211090CHI.html,,"19,621",United Center,
2022-11-09,8:00p,Phoenix Suns,129,Minnesota Timberwolves,117,https://www.basketball-reference.com//boxscores/202211090MIN.html,,"16,062",Target Center,
2022-11-09,8:00p,Milwaukee Bucks,136,Oklahoma City Thunder,132,https://www.basketball-reference.com//boxscores/202211090OKC.html,2OT,"15,180",Paycom Center,
2022-11-09,8:00p,Memphis Grizzlies,124,San Antonio Spurs,122,https://www.basketball-reference.com//boxscores/202211090SAS.html,OT,"13,507",AT&T Center,
2022-11-09,10:00p,Los Angeles Lakers,101,Los Angeles Clippers,114,https://www.basketball-reference.com//boxscores/202211090LAC.html,,"19,068",Crypto.com Arena,
2022-11-09,10:00p,Cleveland Cavaliers,120,Sacramento Kings,127,https://www.basketball-reference.com//boxscores/202211090SAC.html,,"13,816",Golden 1 Center,
2022-11-10,7:00p,Dallas Mavericks,105,Washington Wizards,113,https://www.basketball-reference.com//boxscores/202211100WAS.html,,"18,320",Capital One Arena,
2022-11-10,7:30p,Philadelphia 76ers,95,Atlanta Hawks,104,https://www.basketball-reference.com//boxscores/202211100ATL.html,,"16,066",State Farm Arena,
2022-11-10,7:30p,Charlotte Hornets,112,Miami Heat,117,https://www.basketball-reference.com//boxscores/202211100MIA.html,OT,"19,600",Kaseya Center,
2022-11-10,8:00p,Portland Trail Blazers,106,New Orleans Pelicans,95,https://www.basketball-reference.com//boxscores/202211100NOP.html,,"14,289",Smoothie King Center,
2022-11-11,7:00p,Denver Nuggets,112,Boston Celtics,131,https://www.basketball-reference.com//boxscores/202211110BOS.html,,"19,156",TD Garden,
2022-11-11,7:00p,Phoenix Suns,97,Orlando Magic,114,https://www.basketball-reference.com//boxscores/202211110ORL.html,,"15,879",Amway Center,
2022-11-11,7:30p,Detroit Pistons,112,New York Knicks,121,https://www.basketball-reference.com//boxscores/202211110NYK.html,,"19,812",Madison Square Garden (IV),
2022-11-11,8:00p,Toronto Raptors,113,Oklahoma City Thunder,132,https://www.basketball-reference.com//boxscores/202211110OKC.html,,"16,104",Paycom Center,
