Date,Start Time (ET),Visitor,Visitor Points,Home,Home Points,Box Score,Overtime,Attendance,Arena,Notes
2023-01-15,3:00p,Houston Rockets,100,Los Angeles Clippers,121,https://www.basketball-reference.com//boxscores/202301150LAC.html,,"17,238",Crypto.com Arena,
2023-01-15,3:30p,Golden State Warriors,118,Chicago Bulls,132,https://www.basketball-reference.com//boxscores/202301150CHI.html,,"20,139",United Center,
2023-01-15,6:00p,Oklahoma City Thunder,112,Brooklyn Nets,102,https://www.basketball-reference.com//boxscores/202301150BRK.html,,"18,165",Barclays Center,
2023-01-15,7:00p,Sacramento Kings,132,San Antonio Spurs,119,https://www.basketball-reference.com//boxscores/202301150SAS.html,,"12,339",AT&T Center,
2023-01-15,8:00p,Orlando Magic,116,Denver Nuggets,119,https://www.basketball-reference.com//boxscores/202301150DEN.html,,"19,641",Ball Arena,
2023-01-15,9:00p,Dallas Mavericks,123,Portland Trail Blazers,140,https://www.basketball-reference.com//boxscores/202301150POR.html,,"19,393",Moda Center,
2023-01-15,9:30p,Philadelphia 76ers,113,Los Angeles Lakers,112,https://www.basketball-reference.com//boxscores/202301150LAL.html,,"18,020",Crypto.com Arena,
2023-01-16,1:00p,Boston Celtics,130,Charlotte Hornets,118,https://www.basketball-reference.com//boxscores/202301160CHO.html,,"19,227",Spectrum Center,
2023-01-16,2:30p,Indiana Pacers,119,Milwaukee Bucks,132,https://www.basketball-reference.com//boxscores/202301160MIL.html,,"17,412",Fiserv Forum,
2023-01-16,3:00p,New Orleans Pelicans,103,Cleveland Cavaliers,113,https://www.basketball-reference.com//boxscores/202301160CLE.html,,"19,432",Rocket Mortgage Fieldhouse,
2023-01-16,3:00p,Toronto Raptors,123,New York Knicks,121,https://www.basketball-reference.com//boxscores/202301160NYK.html,OT,"19,812",Madison Square Garden (IV),
2023-01-16,3:00p,Golden State Warriors,127,Washington Wizards,118,https://www.basketball-reference.com//boxscores/202301160WAS.html,,"20,476",Capital One Arena,
2023-01-16,3:30p,Miami Heat,113,Atlanta Hawks,121,https://www.basketball-reference.com//boxscores/202301160ATL.html,,"18,007",State Farm Arena,
2023-01-16,4:00p,Utah Jazz,126,Minnesota Timberwolves,125,https://www.basketball-reference.com//boxscores/202301160MIN.html,,"16,477",Target Center,
2023-01-16,6:00p,Phoenix Suns,106,Memphis Grizzlies,136,https://www.basketball-reference.com//boxscores/202301160MEM.html,,"17,794",FedEx Forum,
2023-01-16,10:30p,Houston Rockets,132,Los Angeles Lakers,140,https://www.basketball-reference.com//boxscores/202301160LAL.html,,"17,657",Crypto.com Arena,
2023-01-17,7:30p,Toronto Raptors,122,Milwaukee Bucks,130,https://www.basketball-reference.com//boxscores/202301170MIL.html,,"17,341",Fiserv Forum,
2023-01-17,8:00p,Brooklyn Nets,98,San Antonio Spurs,106,https://www.basketball-reference.com//boxscores/202301170SAS.html,,"13,532",AT&T Center,
2023-01-17,9:00p,Portland Trail Blazers,113,Denver Nuggets,122,https://www.basketball-reference.com//boxscores/202301170DEN.html,,"18,258",Ball Arena,
2023-01-17,10:00p,Philadelphia 76ers,120,Los Angeles Clippers,110,https://www.basketball-reference.com//boxscores/202301170LAC.html,,"15,155",Crypto.com Arena,
2023-01-18,7:30p,Atlanta Hawks,130,Dallas Mavericks,122,https://www.basketball-reference.com//boxscores/202301180DAL.html,,"20,125",American Airlines Center,
2023-01-18,7:30p,Washington Wizards,116,New York Knicks,105,https://www.basketball-reference.com//boxscores/202301180NYK.html,,"19,164",Madison Square Garden (IV),
2023-01-18,8:00p,Charlotte Hornets,122,Houston Rockets,117,https://www.basketball-reference.com//boxscores/202301180HOU.html,,"15,678",Toyota Center,
2023-01-18,8:00p,Cleveland Cavaliers,114,Memphis Grizzlies,115,https://www.basketball-reference.com//boxscores/202301180MEM.html,,"16,892",FedEx Forum,
2023-01-18,8:00p,Miami Heat,124,New Orleans Pelicans,98,https://www.basketball-reference.com//boxscores/202301180NOP.html,,"17,736",Smoothie King Center,
2023-01-18,8:00p,Indiana Pacers,106,Oklahoma City Thunder,126,https://www.basketball-reference.com//boxscores/202301180OKC.html,,"14,748",Paycom Center,
2023-01-18,9:00p,Los Angeles Clippers,103,Utah Jazz,126,https://www.basketball-reference.com//boxscores/202301180UTA.html,,"18,206",Vivint Arena,
