Date,Start Time (ET),Visitor,Visitor Points,Home,Home Points,Box Score,Overtime,Attendance,Arena,Notes
2013-10-29,7:00p,Orlando Magic,87,Indiana Pacers,97,https://www.basketball-reference.com//boxscores/201310290IND.html,,"18,165",Bankers Life Fieldhouse,
2013-10-29,8:00p,Chicago Bulls,95,Miami Heat,107,https://www.basketball-reference.com//boxscores/201310290MIA.html,,"19,964",AmericanAirlines Arena,
2013-10-29,10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,https://www.basketball-reference.com//boxscores/201310290LAL.html,,"18,997",STAPLES Center,
2013-10-30,7:00p,Brooklyn Nets,94,Cleveland Cavaliers,98,https://www.basketball-reference.com//boxscores/201310300CLE.html,,"20,562",Quicken Loans Arena,
2013-10-30,7:00p,Boston Celtics,87,Toronto Raptors,93,https://www.basketball-reference.com//boxscores/201310300TOR.html,,"20,155",Air Canada Centre,
2013-10-30,7:00p,Miami Heat,110,Philadelphia 76ers,114,https://www.basketball-reference.com//boxscores/201310300PHI.html,,"19,523",Wells Fargo Center,
2013-10-30,7:30p,Washington Wizards,102,Detroit Pistons,113,https://www.basketball-reference.com//boxscores/201310300DET.html,,"19,258",The Palace of Auburn Hills,
2013-10-30,7:30p,Milwaukee Bucks,83,New York Knicks,90,https://www.basketball-reference.com//boxscores/201310300NYK.html,,"19,812",Madison Square Garden (IV),
2013-10-30,8:00p,Indiana Pacers,95,New Orleans Pelicans,90,https://www.basketball-reference.com//boxscores/201310300NOP.html,,"17,803",Smoothie King Center,
2013-10-30,8:00p,Orlando Magic,115,Minnesota Timberwolves,120,https://www.basketball-reference.com//boxscores/201310300MIN.html,OT,"17,988",Target Center,
2013-10-30,8:00p,Charlotte Bobcats,83,Houston Rockets,96,https://www.basketball-reference.com//boxscores/201310300HOU.html,,"18,083",Toyota Center,
2013-10-30,8:30p,Memphis Grizzlies,94,San Antonio Spurs,101,https://www.basketball-reference.com//boxscores/201310300SAS.html,,"18,581",AT&T Center,
2013-10-30,8:30p,Atlanta Hawks,109,Dallas Mavericks,118,https://www.basketball-reference.com//boxscores/201310300DAL.html,,"19,834",American Airlines Center,
2013-10-30,9:00p,Oklahoma City Thunder,101,Utah Jazz,98,https://www.basketball-reference.com//boxscores/201310300UTA.html,,"19,911",EnergySolutions Arena,
2013-10-30,10:00p,Portland Trail Blazers,91,Phoenix Suns,104,https://www.basketball-reference.com//boxscores/201310300PHO.html,,"17,208",US Airways Center,
2013-10-30,10:00p,Denver Nuggets,88,Sacramento Kings,90,https://www.basketball-reference.com//boxscores/201310300SAC.html,,"17,317",Sleep Train Arena,
